Entity,Code,Tree density (trees per km2)
Afghanistan,AFG,562.8843203
Albania,ALB,37403.53706
Algeria,DZA,360.5156159
American Samoa,ASM,12165.83751
Andorra,AND,51104.03436
Angola,AGO,33498.98433
Anguilla,AIA,1536.132078
Antigua and Barbuda,ATG,17245.91138
Argentina,ARG,18029.40271
Armenia,ARM,13514.22321
Aruba,ABW,344.017345
Australia,AUS,9941.12907
Austria,AUT,36722.49556
Azerbaijan,AZE,8967.339893
Bahamas,BHS,12828.71429
Bahrain,BHR,4.544569434
Bangladesh,BGD,6862.857493
Barbados,BRB,10380.41805
Belarus,BLR,27649.56489
Belgium,BEL,17253.37953
Belize,BLZ,54584.57102
Benin,BEN,17740.20868
Bermuda,BMU,707.5797305
Bhutan,BTN,47572.22428
Bolivia,BOL,54409.96827
Bonaire Sint Eustatius and Saba,BES,3508.619856
Bosnia and Herzegovina,BIH,38589.0904
Botswana,BWA,13928.51512
Brazil,BRA,35288.2947
British Indian Ocean Territory,IOT,659.630554
British Virgin Islands,VGB,7980.308983
Brunei,BRN,62333.37385
Bulgaria,BGR,24986.59329
Burkina Faso,BFA,3710.56781
Burundi,BDI,14011.40286
Cambodia,KHM,30421.32842
Cameroon,CMR,41420.83362
Canada,CAN,32054.55088
Cape Verde,CPV,5196.954075
Cayman Islands,CYM,21117.05022
Central African Republic,CAF,38861.0685
Chad,TCD,3646.856151
Chile,CHL,25274.19629
China,CHN,14852.60182
Christmas Island,CXR,4019.4735
Colombia,COL,44950.66058
Comoros,COM,42688.48509
Congo,COG,42088.15532
Cook Islands,COK,9328.853951
Costa Rica,CRI,37041.80704
Cote d'Ivoire,CIV,22449.72772
Croatia,HRV,41129.4886
Cuba,CUB,20627.23094
Curacao,CUW,3412.980985
Cyprus,CYP,11004.59937
Czechia,CZE,25821.63136
Democratic Republic of Congo,COD,43230.5
Denmark,DNK,7059.338747
Djibouti,DJI,62.31030591
Dominica,DMA,48628.03908
Dominican Republic,DOM,22270.39882
Ecuador,ECU,39912.15821
Egypt,EGY,69.10092352
El Salvador,SLV,19865.64062
Equatorial Guinea,GNQ,61790.54883
Eritrea,ERI,2516.173959
Estonia,EST,41111.54174
Eswatini,SWZ,52462.71645
Ethiopia,ETH,12151.28614
Faeroe Islands,FRO,73601.01519
Falkland Islands,FLK,15120.53837
Fiji,FJI,8235.148756
Finland,FIN,72643.508
France,FRA,21955.84793
French Guiana,GUF,60326.03085
French Polynesia,PYF,7304.58631
Gabon,GAB,52243.89667
Gambia,GMB,4802.83569
Georgia,GEO,35930.01368
Germany,DEU,24182.25563
Ghana,GHA,18988.70122
Gibraltar,GIB,2029.944212
Greece,GRC,24323.35746
Greenland,GRL,130.5483995
Grenada,GRD,29029.89172
Guadeloupe,GLP,34148.39211
Guam,GUM,2812.033424
Guatemala,GTM,42478.487
Guernsey,GGY,2189.754987
Guinea,GIN,36108.56427
Guinea-Bissau,GNB,30011.60853
Guyana,GUY,55923.05359
Haiti,HTI,5466.674789
Honduras,HND,41837.91633
Hong Kong,HKG,26214.97691
Hungary,HUN,10573.09873
Iceland,ISL,6511.239502
India,IND,11108.79205
Indonesia,IDN,42404.80098
Iran,IRN,1395.190556
Iraq,IRQ,1171.271426
Ireland,IRL,10087.76185
Isle of Man,IMN,17602.67668
Israel,ISR,572.5708604
Italy,ITA,29249.4324
Jamaica,JAM,39192.90548
Japan,JPN,49893.51488
Jersey,JEY,2623.725107
Jordan,JOR,28.06372456
Kazakhstan,KAZ,2244.513191
Kenya,KEN,5205.467236
Kiribati,KIR,980.3998547
Kosovo,OWID_KOS,22084.13392
Kuwait,KWT,3.500288148
Kyrgyzstan,KGZ,5913.62498
Laos,LAO,43179.38518
Latvia,LVA,38701.10484
Lebanon,LBN,2729.513937
Lesotho,LSO,22170.72189
Liberia,LBR,34727.87257
Libya,LBY,16.76341806
Liechtenstein,LIE,37534.10101
Lithuania,LTU,22731.88774
Luxembourg,LUX,21664.76866
Macao,MAC,635.115484
Madagascar,MDG,37617.81182
Malawi,MWI,26763.15068
Malaysia,MYS,45591.03665
Maldives,MDV,939.4988067
Mali,MLI,2082.394811
Malta,MLT,70.32776974
Marshall Islands,MHL,718.6128851
Martinique,MTQ,35015.75564
Mauritania,MRT,109.2233428
Mauritius,MUS,16001.29451
Mayotte,MYT,25965.48626
Mexico,MEX,28958.83844
Micronesia (country),FSM,15916.44346
Moldova,MDA,4018.339844
Monaco,MCO,4409.475896
Mongolia,MNG,4732.574578
Montenegro,MNE,44176.60151
Montserrat,MSR,27192.73103
Morocco,MAR,1251.388531
Mozambique,MOZ,32490.1553
Myanmar,MMR,36420.38958
Namibia,NAM,2751.003754
Nauru,NRU,1217.315462
Nepal,NPL,22640.94351
Netherlands,NLD,9089.54402
New Caledonia,NCL,45772.18851
New Zealand,NZL,42493.09378
Nicaragua,NIC,30541.26557
Niger,NER,173.7594031
Nigeria,NGA,11972.0579
