Country Name,Country Code,2019 (%),
Austria,AUT,63,
Belgium,BEL,64,
Bulgaria,BGR,58,
Croatia,HRV,60,
Cyprus,CYP,73,"lost, get from wiki"
Czech Republic,CZE,60,
Denmark,DNK,67,
Estonia,EST,50,"lost, get from wiki"
Finland,FIN,66,
France,FRA,55,
Germany,DEU,64,
Greece,GRC,58,
Hungary,HUN,60,
Ireland,IRL,98,
Italy,ITA,56,
Latvia,LVA,46,"lost, get from wiki"
Lithuania,LTU,58,
Luxembourg,LUX,66,
Malta,MLT,89,"lost, get from wiki"
Netherlands,NLD,70,
Poland,POL,62,
Portugal,PRT,60,
Romania,ROU,60,
Slovenia,SVN,65,
Slovak Republic,SVK,58,
Sweden,SWE,71,
Spain,ESP,56,
,,,
,,,
,,,
source: ,https://www.statista.com/statistics/990547/countries-in-europe-for-english/,,
