"TIME","GEO","UNIT","AIRPOL","SRC_NFR","Value","Flag and Footnotes"
"2009","European Union - 27 countries (from 2020)","Tonne","Nitrogen oxides","National total for the entire territory (based on fuel sold)","8 593 768",""
"2009","European Union - 27 countries (from 2020)","Tonne","Sulphur oxides","National total for the entire territory (based on fuel sold)","3 962 366",""
"2009","European Union - 27 countries (from 2020)","Tonne","Ammonia","National total for the entire territory (based on fuel sold)","3 632 740",""
"2009","European Union - 27 countries (from 2020)","Tonne","Particulates < 2.5µm","National total for the entire territory (based on fuel sold)","1 424 937",""
"2009","European Union - 27 countries (from 2020)","Tonne","Particulates < 10µm","National total for the entire territory (based on fuel sold)","2 187 129",""
"2009","European Union - 27 countries (from 2020)","Tonne","Non-methane volatile organic compounds","National total for the entire territory (based on fuel sold)","7 432 153",""
"2009","European Union - 28 countries (2013-2020)","Tonne","Nitrogen oxides","National total for the entire territory (based on fuel sold)","9 859 417",""
"2009","European Union - 28 countries (2013-2020)","Tonne","Sulphur oxides","National total for the entire territory (based on fuel sold)","4 395 300",""
"2009","European Union - 28 countries (2013-2020)","Tonne","Ammonia","National total for the entire territory (based on fuel sold)","3 889 794",""
"2009","European Union - 28 countries (2013-2020)","Tonne","Particulates < 2.5µm","National total for the entire territory (based on fuel sold)","1 535 228",""
"2009","European Union - 28 countries (2013-2020)","Tonne","Particulates < 10µm","National total for the entire territory (based on fuel sold)","2 356 599",""
"2009","European Union - 28 countries (2013-2020)","Tonne","Non-methane volatile organic compounds","National total for the entire territory (based on fuel sold)","8 325 681",""
"2009","Belgium","Tonne","Nitrogen oxides","National total for the entire territory (based on fuel sold)","241 217",""
"2009","Belgium","Tonne","Sulphur oxides","National total for the entire territory (based on fuel sold)","74 386",""
"2009","Belgium","Tonne","Ammonia","National total for the entire territory (based on fuel sold)","74 250",""
"2009","Belgium","Tonne","Particulates < 2.5µm","National total for the entire territory (based on fuel sold)","30 480",""
"2009","Belgium","Tonne","Particulates < 10µm","National total for the entire territory (based on fuel sold)","40 035",""
"2009","Belgium","Tonne","Non-methane volatile organic compounds","National total for the entire territory (based on fuel sold)","147 802",""
"2009","Bulgaria","Tonne","Nitrogen oxides","National total for the entire territory (based on fuel sold)","139 352",""
"2009","Bulgaria","Tonne","Sulphur oxides","National total for the entire territory (based on fuel sold)","442 244",""
"2009","Bulgaria","Tonne","Ammonia","National total for the entire territory (based on fuel sold)","44 395",""
"2009","Bulgaria","Tonne","Particulates < 2.5µm","National total for the entire territory (based on fuel sold)","29 042",""
"2009","Bulgaria","Tonne","Particulates < 10µm","National total for the entire territory (based on fuel sold)","51 204",""
"2009","Bulgaria","Tonne","Non-methane volatile organic compounds","National total for the entire territory (based on fuel sold)","82 353",""
"2009","Czechia","Tonne","Nitrogen oxides","National total for the entire territory (based on fuel sold)","235 694",""
"2009","Czechia","Tonne","Sulphur oxides","National total for the entire territory (based on fuel sold)","168 724",""
"2009","Czechia","Tonne","Ammonia","National total for the entire territory (based on fuel sold)","73 191",""
"2009","Czechia","Tonne","Particulates < 2.5µm","National total for the entire territory (based on fuel sold)","41 339",""
"2009","Czechia","Tonne","Particulates < 10µm","National total for the entire territory (based on fuel sold)","54 218",""
"2009","Czechia","Tonne","Non-methane volatile organic compounds","National total for the entire territory (based on fuel sold)","267 657",""
"2009","Denmark","Tonne","Nitrogen oxides","National total for the entire territory (based on fuel sold)","154 237",""
