,Concentrations of fine particulate matter (PM2.5)
,2016
Country, Total
Afghanistan,53.2 [40.1-75.8]
Albania,17.9 [16.3-20.6]
Algeria,35.2 [19.8-71.9]
Andorra,9.9 [9.8-12.6]
Angola,27.9 [16.0-53.8]
Antigua and Barbuda,17.9 [10.4-34.1]
Argentina,11.8 [9.8-19.0]
Armenia,30.5 [20.1-45.9]
Australia,7.2 [7.4-9.7]
Austria,12.4 [12.1-12.8]
Azerbaijan,18.2 [10.8-35.4]
Bahamas,17.6 [8.6-36.1]
Bahrain,69.0 [51.7-90.7]
Bangladesh,58.3 [51.0-68.7]
Barbados,22.2 [13.4-41.1]
Belarus,18.1 [16.2-21.6]
Belgium,12.9 [12.4-13.5]
Belize,21.2 [9.4-47.2]
Benin,33.1 [20.6-68.9]
Bhutan,35.3 [32.8-45.0]
Bolivia (Plurinational State of),20.2 [14.8-32.2]
Bosnia and Herzegovina,27.3 [23.7-30.7]
Botswana,21.2 [13.4-35.2]
Brazil,11.5 [10.9-14.9]
Brunei Darussalam,5.8 [4.7-7.2]
Bulgaria,18.8 [18.3-20.6]
Burkina Faso,36.8 [19.9-101.9]
Burundi,35.6 [15.1-91.6]
Cabo Verde,32.0 [16.0-61.1]
Cambodia,24.0 [14.4-38.0]
Cameroon,65.3 [43.0-113.4]
Canada,6.5 [6.3-6.7]
Central African Republic,49.5 [25.0-120.6]
Chad,53.0 [23.3-132.4]
Chile,21.0 [19.5-22.0]
China,49.2 [49.7-53.8]
Colombia,15.2 [11.6-23.4]
Comoros,18.6 [9.2-38.7]
Congo,38.7 [18.2-94.7]
Cook Islands,12.0 [6.7-19.2]
Costa Rica,15.9 [13.7-18.2]
Côte d'Ivoire,23.7 [14.5-49.6]
Croatia,17.0 [15.8-18.8]
Cuba,18.4 [12.7-28.6]
Cyprus,16.8 [15.2-19.4]
Czechia,15.1 [15.6-16.4]
Democratic People's Republic of Korea,30.4 [23.6-43.4]
Democratic Republic of the Congo,37.6 [22.7-74.0]
Denmark,10.1 [9.3-11.3]
Djibouti,40.4 [16.1-111.5]
Dominica,18.2 [10.8-34.4]
Dominican Republic,12.9 [6.4-26.7]
